riboflavin (mg),niacin,vitamin B6 (mg),folic acid (milg),food folate (milg),folate (DFE) (milg),Choline (mg),vitamin B12 (milg),age,year,race,vitamin C (mg),vitamin D (milg),vitamin E (mg),added vitamin E (mg),vitamin K,calcium (mg),phosphorus (mg),magnesium (mg),food energy(kcal),protein(g),carbohydrate(g),total sugars(g),dietary fiber(g),total fat(g),saturated fat(g),monosaturated fat(g),polysaturated fat(g),Cholesterol(mg),retinol (milg),vitaminA (milg),alphacarotene (milg),betacarotene (milg),beta-cryptoxanthin (milg),lycopene (milg),lutein+zeaxanthin (milg),thiamin(mg),iron (mg),zinc (mg),copper (mg),selenium (milg),potassium (mg),sodium (mg),caffeine (mg),theobromine (mg)
1.94,25.4,2.11,181,223,530,346,4.68,20 and over,2009-2010,All Hispanic,100.9,4.8,6.7,0.3,73.4,969,1422,307,2124,84.2,273,119,18.4,73.1,23.6,26.7,16.1,298,360,525,393,1720,112,5677,1024,1.63,14.8,11.2,1.3,114.5,2711,3417,108.7,28.2
1.92,23.9,1.98,190,202,526,318,4.66,2 and over,2009-2010,All Hispanic,97.1,5.2,6.4,0.3,65.2,992,1369,284,2038,79.3,266,119,17.0,71.0,23.3,25.6,15.5,275,393,537,346,1501,101,5213,906,1.58,14.5,10.8,1.2,107.6,2556,3252,78.9,34.4
1.79,15.1,1.31,157,131,397,212,4.16,2 -5,2011-2012,Non-Hispanic White,82.5,6.5,5.6,0.5,49.0,1032,1135,208,1584,54.5,219,116,11.9,57.3,21.3,19.5,11.9,156,461,591,301,1360,92,3072,573,1.20,11.0,7.9,0.8,72.5,2006,2213,8.0,53.2
1.96,21.0,1.64,218,159,530,240,4.69,6 - 11,2011-2012,Non-Hispanic White,77.4,6.0,7.3,0.4,67.2,1085,1293,235,2011,66.9,275,137,14.2,74.4,26.4,25.7,16.4,194,512,629,259,1231,90,5150,758,1.57,14.4,9.6,1.0,92.9,2196,3068,24.9,78.6
2.29,26.7,2.12,235,178,579,303,6.04,12 - 19,2011-2012,Non-Hispanic White,64.7,5.9,8.3,0.5,70.5,1199,1504,275,2231,81.1,295,144,15.4,82.5,28.0,28.8,18.9,258,511,604,173,1005,62,6834,798,1.69,15.4,12.1,1.1,115.2,2480,3667,70.7,48.0
2.29,26.1,2.20,202,238,582,335,5.69,20 and over,2011-2012,Non-Hispanic White,80.7,4.8,9.2,0.7,134.9,1029,1441,320,2209,82.2,265,119,18.3,83.8,27.4,29.8,19.8,274,486,731,487,2652,74,5414,1755,1.67,16.0,11.7,1.4,112.1,2870,3574,205.1,46.4
2.24,25.3,2.11,205,222,570,320,5.59,2 and over,2011-2012,Non-Hispanic White,79.0,5.1,8.8,0.7,120.1,1049,1423,305,2169,79.8,267,122,17.5,81.9,27.1,29.0,19.2,261,490,705,432,2336,74,5429,1540,1.65,15.6,11.4,1.3,109.3,2746,3487,170.7,49.0
1.75,18.6,1.60,172,132,425,230,4.37,2 -5,2011-2012,Non-Hispanic Black,104.6,5.9,5.9,0.4,61.1,875,1055,203,1651,56.2,224,110,11.6,61.1,20.0,21.5,14.6,201,450,543,162,1008,62,3152,894,1.32,12.3,8.1,0.8,78.3,2080,2477,6.0,28.4
1.89,22.5,1.76,207,147,498,247,4.91,6 - 11,2011-2012,Non-Hispanic Black,83.4,5.4,7.4,0.5,70.9,963,1223,228,2020,68.6,266,123,13.7,78.2,26.0,27.8,17.9,226,455,542,144,945,63,4679,927,1.60,14.8,10.1,0.9,96.2,2133,3164,11.6,46.9
1.60,24.1,1.79,193,147,475,245,4.90,12 - 19,2011-2012,Non-Hispanic Black,83.6,3.7,7.3,0.3,77.3,831,1171,225,2037,69.3,268,130,12.9,77.3,24.9,27.2,18.9,230,348,448,195,1077,55,5215,873,1.45,13.8,9.4,0.9,97.8,2096,3257,29.1,40.9
