income,age,oil,solid fats,added sugars,alcoholic drinks,year,eggs,nuts and seeds,soybean products,total protein foods,"Total Meat, Poultry, and Seafood",meat,poultry,cured meat,seafood low n-3,seafood high n-3,organ meat,total dairy,fluid milk,cheese,yoghurt,total grains,whole grains,refined grains,total vegetables,total starchy,potatoes,other starchy,total red and orange,tomatoes,other red and orange,dark green,other,total fruit,"citrus, melons, berries",other fruit,fruit juice
"$75,000 and higher",2 and over,22.16,40.74,18.81,0.60,2007_08,0.48,0.69,0.09,1.47,0.44,0.37,0.07,0.37,0.29,0.08,0.14,1.78,0.99,0.71,0.06,6.44,0.72,5.72,1.47,0.44,0.37,0.07,0.37,0.29,0.08,0.14,0.52,1.00,0.18,0.50,0.33
"$0 - $24,999",2 -5,12.94,29.86,13.46,0.00,2009_10,0.34,0.23,0.02,0.69,0.31,0.26,0.06,0.21,0.17,0.04,0.02,2.24,1.66,0.51,0.06,4.74,0.51,4.24,0.69,0.31,0.26,0.06,0.21,0.17,0.04,0.02,0.15,1.34,0.16,0.57,0.61
"$0 - $24,999",6 - 11,17.66,38.69,18.14,0.00,2009_10,0.35,0.20,0.03,0.90,0.36,0.30,0.07,0.26,0.20,0.05,0.03,2.28,1.47,0.74,0.05*,6.73,0.48,6.25,0.90,0.36,0.30,0.07,0.26,0.20,0.05,0.03,0.25,1.17,0.17,0.57,0.42
"$0 - $24,999",12 - 19,22.42,39.05,22.46,0.13*,2009_10,0.34,0.30*,0.02,1.03,0.43,0.39,0.04,0.28,0.24,0.04,0.05,2.15,1.20,0.92,0.02,7.29,0.52,6.77,1.03,0.43,0.39,0.04,0.28,0.24,0.04,0.05,0.27,0.90,0.13,0.35,0.43
"$0 - $24,999",20 and over,20.64,37.14,19.88,0.76,2009_10,0.50,0.53,0.06,1.40,0.47,0.38,0.10,0.35,0.27,0.08,0.11,1.61,0.88,0.68,0.03,6.31,0.67,5.63,1.40,0.47,0.38,0.10,0.35,0.27,0.08,0.11,0.47,0.97,0.15,0.41,0.41
"$0 - $24,999",2 and over,20.06,36.99,19.58,0.57,2009_10,0.45,0.46,0.05,1.27,0.45,0.36,0.09,0.32,0.25,0.07,0.09,1.77,1.02,0.70,0.03,6.34,0.63,5.72,1.27,0.45,0.36,0.09,0.32,0.25,0.07,0.09,0.41,1.00,0.15,0.43,0.43
"$25,000 - $74,999",2 -5,12.98,30.49,13.31,0.00,2009_10,0.27,0.30,0.04*,0.68,0.28,0.22,0.06,0.21,0.16,0.05,0.03,2.56,1.78,0.70,0.08,4.89,0.79,4.10,0.68,0.28,0.22,0.06,0.21,0.16,0.05,0.03,0.16,1.46,0.16,0.65,0.65
"$25,000 - $74,999",6 - 11,16.33,36.22,18.72,0.00,2009_10,0.34,0.24,0.02,0.76,0.29,0.23,0.06,0.23,0.19,0.04,0.04,2.21,1.42,0.72,0.06,6.46,0.59,5.87,0.76,0.29,0.23,0.06,0.23,0.19,0.04,0.04,0.20,0.99,0.14,0.53,0.32
"$25,000 - $74,999",12 - 19,20.87,38.25,24.05,0.11*,2009_10,0.43,0.57,0.03,1.04,0.37,0.33,0.05,0.28,0.24,0.04,0.04*,1.94,1.01,0.90,0.03*,7.12,0.59,6.53,1.04,0.37,0.33,0.05,0.28,0.24,0.04,0.04*,0.35,0.98,0.13,0.41,0.43
"$25,000 - $74,999",20 and over,22.54,37.96,18.17,0.77,2009_10,0.53,0.60,0.07,1.59,0.49,0.40,0.09,0.36,0.28,0.09,0.15,1.63,0.83,0.73,0.06,6.54,0.85,5.70,1.59,0.49,0.40,0.09,0.36,0.28,0.09,0.15,0.59,1.03,0.19,0.55,0.29
"$25,000 - $74,999",2 and over,21.34,37.44,18.56,0.59,2009_10,0.49,0.55,0.06,1.42,0.45,0.37,0.08,0.34,0.26,0.07,0.12,1.76,0.95,0.74,0.06,6.51,0.80,5.71,1.42,0.45,0.37,0.08,0.34,0.26,0.07,0.12,0.51,1.04,0.18,0.54,0.33
"$75,000 and higher",2 -5,13.40,26.31,10.66,0.00,2009_10,0.28,0.51,0.05*,0.67,0.24,0.16,0.08,0.18,0.13,0.05,0.05,2.30,1.64,0.54,0.10,4.66,0.86,3.80,0.67,0.24,0.16,0.08,0.18,0.13,0.05,0.05,0.20,1.53,0.31,0.70,0.52
"$75,000 and higher",2 -5,13.40,26.31,10.66,0.00,2009_10,0.28,0.51,0.05*,0.67,0.24,0.16,0.08,0.18,0.13,0.05,0.05,2.30,1.64,0.54,0.10,4.66,0.86,3.80,0.67,0.24,0.16,0.08,0.18,0.13,0.05,0.05,0.20,1.46,0.20,0.65,0.61
"$75,000 and higher",6 - 11,18.33,31.92,18.14,#,2009_10,0.29,0.53,0.02*,0.73,0.25,0.20,0.05,0.26,0.19,0.07,0.04,2.33,1.60,0.63,0.07*,6.89,0.78,6.11,0.73,0.25,0.20,0.05,0.26,0.19,0.07,0.04,0.17,1.18,0.31,0.54,0.33
"$75,000 and higher",6 - 11,18.33,31.92,18.14,#,2009_10,0.29,0.53,0.02*,0.73,0.25,0.20,0.05,0.26,0.19,0.07,0.04,2.33,1.60,0.63,0.07*,6.89,0.78,6.11,0.73,0.25,0.20,0.05,0.26,0.19,0.07,0.04,0.17,1.11,0.21,0.54,0.36
"$75,000 and higher",12 - 19,21.39,42.23,22.86,0.05*,2009_10,0.34,0.46,0.05,1.20,0.38,0.34,0.04*,0.35,0.27,0.08,0.08,2.39,1.33,1.01,0.04*,8.13,0.58,7.55,1.20,0.38,0.34,0.04*,0.35,0.27,0.08,0.08,0.38,0.95,0.20*,0.47,0.27
"$75,000 and higher",12 - 19,21.39,42.23,22.86,0.05*,2009_10,0.34,0.46,0.05,1.20,0.38,0.34,0.04*,0.35,0.27,0.08,0.08,2.39,1.33,1.01,0.04*,8.13,0.58,7.55,1.20,0.38,0.34,0.04*,0.35,0.27,0.08,0.08,0.38,0.97,0.17,0.41,0.38
"$75,000 and higher",20 and over,24.40,38.31,15.80,0.95,2009_10,0.46,0.89,0.12,1.74,0.42,0.34,0.08,0.44,0.33,0.11,0.17,1.94,0.91,0.94,0.08,6.63,0.96,5.67,1.74,0.42,0.34,0.08,0.44,0.33,0.11,0.17,0.70,1.16,0.26,0.59,0.31
"$75,000 and higher",20 and over,24.40,38.31,15.80,0.95,2009_10,0.46,0.89,0.12,1.74,0.42,0.34,0.08,0.44,0.33,0.11,0.17,1.94,0.91,0.94,0.08,6.63,0.96,5.67,1.74,0.42,0.34,0.08,0.44,0.33,0.11,0.17,0.70,1.08,0.21,0.53,0.34
"$75,000 and higher",2 and over,22.99,37.64,16.58,0.72,2009_10,0.42,0.79,0.10,1.53,0.39,0.32,0.07,0.40,0.30,0.10,0.15,2.04,1.05,0.90,0.07,6.73,0.90,5.83,1.53,0.39,0.32,0.07,0.40,0.30,0.10,0.15,0.59,1.15,0.26,0.58,0.31
"$75,000 and higher",2 and over,22.99,37.64,16.58,0.72,2009_10,0.42,0.79,0.10,1.53,0.39,0.32,0.07,0.40,0.30,0.10,0.15,2.04,1.05,0.90,0.07,6.73,0.90,5.83,1.53,0.39,0.32,0.07,0.40,0.30,0.10,0.15,0.59,1.09,0.20,0.53,0.36
"$0 - $24,999",2 -5,15.81,28.93,13.77,0.00,2011_12,0.38,0.15,0.03,0.70,0.27,0.21,0.06,0.22,0.17,0.05,0.06*,2.17,1.58,0.52,0.06,5.15,0.57,4.58,0.70,0.27,0.21,0.06,0.22,0.17,0.05,0.06*,0.16,1.19,0.15,0.49,0.55
"$0 - $24,999",6 - 11,20.54,37.93,19.29,0.00,2011_12,0.34,0.18,0.06,0.88,0.33,0.27,0.07,0.27,0.22,0.05,0.04,2.29,1.41,0.82,0.05,7.15,0.72,6.43,0.88,0.33,0.27,0.07,0.27,0.22,0.05,0.04,0.24,1.13,0.15,0.60,0.38
"$0 - $24,999",12 - 19,31.65,40.79,23.68,0.11*,2011_12,0.66,0.46*,0.06,1.18,0.42,0.36,0.06*,0.39,0.34,0.05,0.03,2.26,1.14,1.09,0.02*,8.19,0.65,7.54,1.18,0.42,0.36,0.06*,0.39,0.34,0.05,0.03,0.34,0.77,0.09*,0.33,0.36
"$0 - $24,999",20 and over,24.44,37.47,19.94,0.79,2011_12,0.52,0.51,0.05,1.43,0.46,0.38,0.09,0.37,0.30,0.07,0.10,1.64,0.77,0.80,0.04,6.85,0.83,6.02,1.43,0.46,0.38,0.09,0.37,0.30,0.07,0.10,0.49,0.99,0.16,0.44,0.39
"$0 - $24,999",2 and over,24.45,37.40,19.96,0.60,2011_12,0.52,0.46,0.05,1.32,0.44,0.36,0.08,0.36,0.29,0.07,0.09,1.80,0.92,0.82,0.04,6.93,0.78,6.15,1.32,0.44,0.36,0.08,0.36,0.29,0.07,0.09,0.44,0.99,0.15,0.44,0.40
"$25,000 - $74,999",2 -5,14.16,31.04,13.20,0.00,2011_12,0.29,0.24,0.01*,0.58,0.23,0.17,0.07,0.19,0.15,0.04,0.02*,2.40,1.68,0.62,0.09,4.96,0.64,4.32,0.58,0.23,0.17,0.07,0.19,0.15,0.04,0.02*,0.14,1.52,0.17,0.57,0.78
"$25,000 - $74,999",6 - 11,18.67,36.41,19.23,0.00,2011_12,0.25,0.27,0.06,0.87,0.27,0.22,0.05,0.30,0.26,0.04,0.04,2.20,1.34,0.81,0.03*,6.66,0.73,5.93,0.87,0.27,0.22,0.05,0.30,0.26,0.04,0.04,0.25,1.11,0.20,0.51,0.40
